store_id,store_name,link_url
00000156,ラ リストロ イロハ,https://tabelog.com/fukuoka/A4001/A400102/40049760/
00000157,長浜ラーメン 省ちゃん,https://tabelog.com/fukuoka/A4001/A400102/40046260/
00000158,ちゃんこ重ノ海,https://tabelog.com/fukuoka/A4001/A400102/40014460/
00000159,Blue Ocean,https://tabelog.com/fukuoka/A4001/A400102/40067358/
00000160,伊都の明里,https://tabelog.com/fukuoka/A4001/A400102/40058433/
00000161,中洲炉端 立誠,https://tabelog.com/fukuoka/A4001/A400102/40065939/
00000162,BAR KOMASA,https://tabelog.com/fukuoka/A4001/A400102/40037806/
00000163,海と山,https://tabelog.com/fukuoka/A4001/A400102/40003594/
00000164,le Sourire【春吉】ダイニングバー,https://tabelog.com/fukuoka/A4001/A400102/40059574/
00000165,炭と窯と葡萄酒,https://tabelog.com/fukuoka/A4001/A400102/40064814/
00000166,博多焼き鳥 いろどり,https://tabelog.com/fukuoka/A4001/A400102/40065416/
00000167,繋々,https://tabelog.com/fukuoka/A4001/A400102/40065328/
00000168,串揚げさとう,https://tabelog.com/fukuoka/A4001/A400102/40063644/
00000169,中洲仁伊島,https://tabelog.com/fukuoka/A4001/A400102/40022625/
00000170,バーモス博多,https://tabelog.com/fukuoka/A4001/A400102/40059373/
00000171,串揚げ ウルトラC,https://tabelog.com/fukuoka/A4001/A400102/40065279/
00000172,磯丸水産 中洲川端店,https://tabelog.com/fukuoka/A4001/A400102/40046109/
00000173,マイモン 西中洲,https://tabelog.com/fukuoka/A4001/A400102/40000863/
00000174,黒豚あじと 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40048202/
00000175,博多もつ鍋 トクトク,https://tabelog.com/fukuoka/A4001/A400102/40017850/
00000176,たけちゃんfr司,https://tabelog.com/fukuoka/A4001/A400102/40055321/
00000177,博多中洲焼肉 九州男,https://tabelog.com/fukuoka/A4001/A400102/40019527/
00000178,グランドバー フクオカ,https://tabelog.com/fukuoka/A4001/A400102/40025590/
00000179,すしお料理処まつやま,https://tabelog.com/fukuoka/A4001/A400102/40022429/
00000180,馳走処 手いっぽん,https://tabelog.com/fukuoka/A4001/A400102/40008135/
00000181,ウマイモンヤ ゼン 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40040139/
00000182,小料理 むとう,https://tabelog.com/fukuoka/A4001/A400102/40052274/
00000183,やきとり酒場 池屋,https://tabelog.com/fukuoka/A4001/A400102/40055098/
00000184,大政,https://tabelog.com/fukuoka/A4001/A400102/40040886/
00000185,だんご汁 一休さん,https://tabelog.com/fukuoka/A4001/A400102/40052432/
00000186,とり将,https://tabelog.com/fukuoka/A4001/A400102/40053574/
00000187,山﨑酒店,https://tabelog.com/fukuoka/A4001/A400102/40046797/
00000188,酒食 青松 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40053373/
00000189,es ROOFTOP GARDEN BAGUS NAKASU,https://tabelog.com/fukuoka/A4001/A400102/40038180/
00000190,竹乃屋 川端店,https://tabelog.com/fukuoka/A4001/A400102/40029737/
00000191,El・Escondite,https://tabelog.com/fukuoka/A4001/A400102/40041526/
00000192,よひづき,https://tabelog.com/fukuoka/A4001/A400102/40047850/
00000193,cafe Tiger,https://tabelog.com/fukuoka/A4001/A400102/40002513/
00000194,季遊,https://tabelog.com/fukuoka/A4001/A400102/40008126/
00000195,マックス　フクオカ 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40031109/
00000196,焼肉ここから 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40066977/
00000197,屋台 風来坊,https://tabelog.com/fukuoka/A4001/A400102/40044298/
00000198,水炊き　凡,https://tabelog.com/fukuoka/A4001/A400102/40037571/
00000199,壺や 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40041935/
00000200,鉄板焼　石田,https://tabelog.com/fukuoka/A4001/A400102/40024354/
